codigo_proceso,t2.procedimiento,t2.actividad,Código,Nombre de la Actividad
PAN040102,Crear Cuenta y Autorizar desembolsos,m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,CP1109,Custodiar documento
PAN040102,Crear Cuenta y Autorizar desembolsos,ajustar valor [act016] ,ACT016,Ajustar Valor
PAN040102,Crear Cuenta y Autorizar desembolsos,desembolsar crédito [act123] ,ACT123,Desembolsar CrÃ©dito
PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040102,Crear Cuenta y Autorizar desembolsos,gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040102,Crear Cuenta y Autorizar desembolsos,implementar solución [act204] ,ACT204,Implementar SoluciÃ³n
PAN040102,Crear Cuenta y Autorizar desembolsos,rechazar solicitud [act264] ,ACT264,Rechazar Solicitud
PAN040102,Crear Cuenta y Autorizar desembolsos,solicitar autorización [act311] ,ACT311,Solicitar AutorizaciÃ³n
PAN040102,Procedimiento Contingente,notificar la ofex para gestionar inconsistencias ,ACT191,Gestionar Inconsistencias
PAN040102,Procedimiento Contingente,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040102,Procedimiento Contingente,activar contigencia [act363] ,ACT363,Activar Contingencia
PAN040102,Realizar cálculos Revolvente,ajustar valor [act016] ,ACT016,Ajustar Valor
PAN040102,Realizar cálculos Revolvente,calcular intereses [act056] ,ACT056,Calcular InterÃ©s
PAN040102,Realizar cálculos Revolvente,cargar información [act066] ,ACT066,Cargar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,consolidar información [act098] ,ACT098,Consolidar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,descargar reporte [act122] ,ACT122,Descargar Reporte
PAN040102,Realizar cálculos Revolvente,enviar información [act156] ,ACT156,Enviar InformaciÃ³n
PAN040102,Realizar cálculos Revolvente,recibir información [act266] ,ACT266,Recibir InformaciÃ³n
PAN040103,Abrir Productos Pasivos,enviar comunicación/ notificación [cmc01] ,CMC01,Enviar ComunicaciÃ³n NotificaciÃ³n
PAN040103,Abrir Productos Pasivos,radicar solicitud ,CMT79,Radicar Solicitud
PAN040103,Abrir Productos Pasivos,m: gestión de servicios administrativos p: custodiar documentos pagaré panamá ,CP1109,Custodiar documento
PAN040103,Abrir Productos Pasivos,gestionar inconsistencias [act191] ,ACT191,Gestionar Inconsistencias
PAN040103,Abrir Productos Pasivos,registrar evidencia [act275] ,ACT275,Registrar Evidencia
PAN040103,Abrir Productos Pasivos,ejecutar ajuste contable [act372] ,ACT372,Ejecutar Ajuste Contable
PAN040103,Administrar Listas de control,c001: validar resultado ,ACT347,Validar Resultado
