Nombre Arquetipo,capacidades,Dominio,Subdominio Nivel 1,Subdominio Nivel 2
Abrir producto,Ajustar parámetro,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Tarjeta crédito, tarjeta débito, cheques, recaudos"
Abrir producto,Asignar sucursal de radicación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",
Abrir producto,Asociar cuenta al producto,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Abrir producto,Asociar producto al cliente,Clientes,Relacionamiento con clientes,Por definir
Abrir producto,Asociar producto al cliente,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Por definir
Abrir producto,Autenticar al cliente,Habilitación Empresarial,Gestión de la seguridad,Ciberseguridad
Abrir producto,Autenticar al cliente,Habilitación Empresarial,Gestión de la seguridad,Por definir
Abrir producto,Calcular variables de simulación,Estrategia de los negocios,Modelo de Precio (pricing),Calcular variables de simulación
Abrir producto,Calcular variables de simulación,Estrategia de los negocios,Modelo de Precio (pricing),
Abrir producto,Calcular variables de simulación,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Calcular variables de simulación
Abrir producto,Consultar tasa de cambio,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",
Abrir producto,Contactar usuario,Clientes,Relacionamiento con clientes,Gestión de la Contactabilidad
Abrir producto,Coordinar entrega con el proveedor,Negocios,"Medios de pago, soluciones para empresas","Tarjeta crédito, tarjeta débito, cheques, recaudos"
Abrir producto,Crear datos de seguridad,Negocios,Medios de pago,"Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Abrir producto,Definir el precio del producto,Estrategia de los negocios,Modelo de Precio (pricing),Definir el precio del producto
Abrir producto,Definir el precio del producto,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Definir el precio del producto
Abrir producto,Desembolsar producto,Negocios,Financiación,Por definir
Abrir producto,Determinar viabilidad jurídica del bien o garantía,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Por definir
Abrir producto,Disponer cobertura,Negocios,"Medios de pago, soluciones para empresas",
Abrir producto,Elaborar oferta de producto,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Abrir producto,Elegir condiciones del producto,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales"
Abrir producto,Entregar producto en sucursal,Negocios,"Medios de pago, soluciones para empresas","Tarjeta crédito, tarjeta débito, cheques, recaudos"
