codigo_proceso,t2.procedimiento,total actividades,match paso 5,% paso 5,match paso 6,% paso 6,match paso 7,% paso 7,total match,sin cobertura,% cobertura global
FID050210,Definir y ejecutar estrategia de Asset Management,61,0,0.0%,0,0.0%,0,0.0%,0,61,0.0%
FID080105,Controlar y Monitorear Políticas y Límites Riesgo de Mercado de Portafolios Fiduciaria,12,0,0.0%,0,0.0%,0,0.0%,0,12,0.0%
PAN040102,Abrir Producto de Crédito,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
PAN040102,Autorizar Operaciones por Callback,6,0,0.0%,1,16.7%,0,0.0%,1,5,16.7%
PAN040102,Crear Cuenta y Autorizar desembolsos,55,0,0.0%,1,1.8%,8,14.5%,9,46,16.4%
PAN040102,Procedimiento Contingente,22,0,0.0%,1,4.5%,3,13.6%,4,18,18.2%
PAN040102,Realizar cálculos Revolvente,29,0,0.0%,0,0.0%,7,24.1%,7,22,24.1%
PAN040103,Abrir Productos Pasivos,53,0,0.0%,0,0.0%,6,11.3%,6,47,11.3%
PAN040103,Administrar Listas de control,21,0,0.0%,0,0.0%,1,4.8%,1,20,4.8%
PAN040103,Autorizar Operaciones CallBack,4,0,0.0%,1,25.0%,0,0.0%,1,3,25.0%
PAN040103,Diagrama 1,4,0,0.0%,1,25.0%,0,0.0%,1,3,25.0%
PAN040103,Evaluar alertas Panamá y Sucural,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
PAN040103,Realizar Apertura de Productos Pasivos,21,0,0.0%,0,0.0%,0,0.0%,0,21,0.0%
PAN040107,Realizar Apertura Productos Medios de Pago,2,0,0.0%,0,0.0%,0,0.0%,0,2,0.0%
PAN040107,Realizar Apertura Tarjeta Débito,26,0,0.0%,0,0.0%,1,3.8%,1,25,3.8%
PAN040107,Realizar Apertura tarjeta Crédito,18,0,0.0%,0,0.0%,1,5.6%,1,17,5.6%
PAN040107,Realizar aperturas de tarjeta de crédito,31,0,0.0%,1,3.2%,2,6.5%,3,28,9.7%
PAN040107,Validar membresia,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
PAN040107,Validar membresías,5,0,0.0%,0,0.0%,0,0.0%,0,5,0.0%
PAN040212,Administrar Cartera Pasiva,4,0,0.0%,0,0.0%,0,0.0%,0,4,0.0%
PAN040212,Apertura Cartera Pasiva,8,0,0.0%,0,0.0%,0,0.0%,0,8,0.0%
PAN040212,Aperturar Cartera Pasiva,9,0,0.0%,0,0.0%,0,0.0%,0,9,0.0%
