codigo_proceso,Código Arquetipo,Nombre Arquetipo
FID050210,N/A,N/A
FID080105,N/A,N/A
PAN040102,ARQ002,Abrir producto
PAN040103,ARQ002,Abrir producto
PAN040107,ARQ002,Abrir producto
PAN040212,N/A,N/A
PAN040305,ARQ005,Aplicar novedad
PAN040305,ARQ027,Atender solicitudes de usuario
PAN040310,N/A,N/A
PAN040314,ARQ005,Aplicar novedad
PAN040705,N/A,N/A
PAN050305,ARQ027,Atender solicitudes de usuario
PAN050802,ARQ114,Realizar Vinculación
PAN050803,N/A,N/A
PAN080001,N/A,N/A
PTO160301,ARQ013,Ejecutar transacción monetaria
T050301,ARQ027,Atender solicitudes de usuario
T050302,ARQ027,Atender solicitudes de usuario
T050303,ARQ027,Atender solicitudes de usuario
T050402,N/A,N/A
T050807,N/A,N/A
T051005,ARQ114,Realizar Vinculación
T051005,ARQ140,Administrar servicio en canales
T051008,N/A,N/A
T051009,N/A,N/A
T051303,N/A,N/A
T051701,N/A,N/A
T051903,ARQ027,Atender solicitudes de usuario
T051904,N/A,N/A
T051910,N/A,N/A
T051911,N/A,N/A
T051918,N/A,N/A
T051923,N/A,N/A
T051924,N/A,N/A
T070203,ARQ056,Administrar el servicio de los canales
T070204,N/A,N/A
T070206,N/A,N/A
T070208,N/A,N/A
T070209,N/A,N/A
T070211,N/A,N/A
T070212,N/A,N/A
T070214,N/A,N/A
T080006,N/A,N/A
T080130,N/A,N/A
T080148,N/A,N/A
T080149,N/A,N/A
T080315,N/A,N/A
T080505,ARQ123,Ejecutar cuadre contable del producto
T080506,N/A,N/A
T080507,N/A,N/A
T080508,N/A,N/A
T080516,ARQ123,Ejecutar cuadre contable del producto
T080602,N/A,N/A
T080802,N/A,N/A
T080902,ARQ123,Ejecutar cuadre contable del producto
T081001,ARQ123,Ejecutar cuadre contable del producto
T090101,N/A,N/A
T090202,N/A,N/A
T090303,N/A,N/A
T120003,N/A,N/A
T120004,N/A,N/A
T120301,N/A,N/A
T120302,N/A,N/A
T140002,N/A,N/A
T140003,N/A,N/A
T140004,N/A,N/A
T140005,N/A,N/A
T140112,ARQ114,Realizar Vinculación
T140705,N/A,N/A
T140707,N/A,N/A
T141203,N/A,N/A
T160021,ARQ005,Aplicar novedad
T160021,ARQ027,Atender solicitudes de usuario
T160027,ARQ022,Generar información
T160028,ARQ022,Generar información
T160050,ARQ123,Ejecutar cuadre contable del producto
T160057,ARQ005,Aplicar novedad
T160065,ARQ002,Abrir producto
T160076,ARQ013,Ejecutar transacción monetaria
T160077,N/A,N/A
T160080,N/A,N/A
T160082,N/A,N/A
T160084,N/A,N/A
T160085,N/A,N/A
T160086,ARQ013,Ejecutar transacción monetaria
T160087,ARQ005,Aplicar novedad
T160087,ARQ123,Ejecutar cuadre contable del producto
