id_epica,periodo,codigo_proceso,procedimiento,actividad,matched_proc_codes,matched_codigo_arquetipo,matched_nombre_arquetipo
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar información [act156] ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informe ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,ajustar inconsistencias ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,gestionar inconsistencias [act191] ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,almacenar información ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,remitir informe ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,disponer información ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,c002 verificar la razonabilidad ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes [act178] ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,c001 validar la información ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,m: gestión financiera p: generar y transmitir informes externos ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar interfaces ,['T160657'],['ARQ022'],['Generar información']
7015620,2026Q1,T160657,Generar Informes y Reportes Factoring,m: cumplimiento de los servicios p: realizar desembolso factoring saf ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar información [act156] ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informe ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,ajustar inconsistencias ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,gestionar inconsistencias [act191] ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,almacenar información ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,remitir informe ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,disponer información ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,c002 verificar la razonabilidad ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes [act178] ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,c001 validar la información ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,m: gestión financiera p: generar y transmitir informes externos ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar interfaces ,['T160657'],['ARQ022'],['Generar información']
7015604,2026Q1,T160657,Generar Informes y Reportes Factoring,m: cumplimiento de los servicios p: realizar desembolso factoring saf ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar información [act156] ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informe ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,ajustar inconsistencias ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,gestionar inconsistencias [act191] ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,almacenar información ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,remitir informe ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,disponer información ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,c002 verificar la razonabilidad ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,generar informes [act178] ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,c001 validar la información ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,m: gestión financiera p: generar y transmitir informes externos ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,enviar interfaces ,['T160657'],['ARQ022'],['Generar información']
7032663,2026Q1,T160657,Generar Informes y Reportes Factoring,m: cumplimiento de los servicios p: realizar desembolso factoring saf ,['T160657'],['ARQ022'],['Generar información']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,firmar formato de vinculación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación Centralizada,convertir información financiera ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,c011:confirmar identidad ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Vinculación gestionada por comercial,entregar instrucciones y clausulas ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vincular cliente ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,firmar documentación ,['PAN050802'],['ARQ114'],['Vincular clientes']
7033166,2026Q1,PAN050802,Crear o vincular personas Filiales del Exterior y Sucursal,vinculación centralizada ,['PAN050802'],['ARQ114'],['Vincular clientes']
